Time (s),Voltage (mV)
879984.2065101,0.0
879984.2065944,0.0
879984.2066786,0.0
879984.2067632,0.0
879984.2068477,0.0
879984.2069317,0.0
879984.207015,0.0
879984.2070987,0.0
879984.2071847,0.0
879984.2072699,0.0
879984.2073541,0.0
879984.2074381,0.0
879984.207522,0.0
879984.2076056,0.0
879984.2076911,0.0
879984.2077757,0.0
879984.2078607,0.0
879984.2079448,0.0
879984.2080297,0.0
879984.2081148,0.0
879984.2081994,0.0
879984.2082831,0.0
879984.2083668,0.0
879984.2084504,0.0
879984.2085344,0.0
879984.2086185,0.0
879984.2087028,3.0
879984.208787,0.0
879984.2088708,0.0
879984.2089552,0.0
879984.2090394,0.0
879984.2091244,0.0
879984.2092097,0.0
879984.2092952,0.0
879984.20938,0.0
879984.209464,0.0
879984.2095481,0.0
879984.2096318,0.0
879984.2097154,0.0
879984.2097992,0.0
879984.2098834,0.0
879984.209968,0.0
879984.2100517,3.0
879984.2101356,0.0
879984.2102195,0.0
879984.2103035,0.0
879984.2103875,0.0
879984.2104724,0.0
879984.2105568,0.0
879984.2106403,0.0
879984.2107235,0.0
879984.2108069,0.0
879984.2108913,0.0
879984.2109752,0.0
879984.21106,0.0
879984.2111454,0.0
879984.21123,0.0
879984.2113142,0.0
879984.2113981,0.0
879984.2114815,0.0
879984.2115652,0.0
879984.2116502,0.0
879984.211736,0.0
879984.2118201,0.0
879984.2119049,0.0
879984.2119893,0.0
879984.2120748,0.0
879984.2121595,0.0
879984.2122438,0.0
879984.2123281,0.0
879984.212412,0.0
879984.2124968,0.0
879984.2125826,0.0
879984.212667,0.0
879984.2127526,0.0
879984.2128366,0.0
879984.2129205,0.0
879984.213004,3.0
879984.213089,0.0
879984.2131746,0.0
879984.2132587,0.0
879984.2133424,0.0
879984.2134274,3.0
879984.2135127,0.0
879984.2135982,0.0
879984.2136831,0.0
879984.2137673,0.0
879984.2138513,0.0
879984.2139362,0.0
879984.2140206,0.0
879984.2141056,0.0
879984.2141903,0.0
879984.2142746,0.0
879984.2143595,0.0
879984.2144448,0.0
879984.2145296,0.0
879984.2146143,0.0
879984.214699,3.0
879984.2147835,0.0
879984.2148676,0.0
879984.2149515,0.0
879984.2150352,0.0
879984.215119,0.0
879984.2152032,0.0
879984.2152875,0.0
879984.2153713,0.0
879984.2154569,0.0
879984.2155421,0.0
879984.2156269,3.0
879984.2157121,0.0
879984.215797,0.0
879984.2158812,0.0
879984.2159652,0.0
879984.2160488,0.0
879984.216133,0.0
879984.2162174,0.0
879984.216301,0.0
879984.2163847,0.0
879984.216469,0.0
879984.2165532,0.0
879984.2166383,0.0
879984.2167246,0.0
879984.2168097,0.0
879984.2168934,0.0
879984.216977,0.0
879984.2170616,0.0
879984.2171476,0.0
879984.217231,0.0
879984.2173148,0.0
879984.2174004,0.0
879984.2174856,0.0
879984.2175714,0.0
879984.2176568,0.0
879984.2177412,0.0
879984.2178266,0.0
879984.2179124,0.0
879984.2179974,0.0
879984.2180821,0.0
879984.2181667,0.0
879984.2182508,0.0
879984.2183351,0.0
879984.2184199,0.0
879984.2185046,3.0
879984.2185903,0.0
879984.2186738,3.0
879984.2187585,0.0
879984.2188434,0.0
879984.2189285,0.0
879984.2190135,0.0
879984.2191035,0.0
879984.2192713,0.0
879984.2193759,0.0
879984.2194753,0.0
879984.2195596,3.0
879984.2196443,0.0
879984.2197284,0.0
879984.2198133,0.0
879984.2198978,0.0
879984.2199832,0.0
879984.2200677,0.0
879984.2201521,0.0
879984.2202365,0.0
879984.2203205,3.0
879984.2204041,0.0
879984.2204895,0.0
879984.2205739,0.0
879984.2206588,0.0
879984.2207423,0.0
879984.2208264,0.0
879984.2209101,0.0
879984.220994,0.0
879984.221078,0.0
879984.2211618,0.0
879984.2212458,0.0
879984.2213301,0.0
879984.2214143,0.0
879984.2214996,0.0
879984.2215833,0.0
879984.2216669,3.0
879984.2217503,0.0
879984.2218346,0.0
879984.2219194,0.0
879984.2220036,0.0
879984.2220879,0.0
879984.2221716,0.0
879984.2222556,0.0
879984.2223407,0.0
879984.2224254,0.0
879984.2225092,0.0
879984.2225934,0.0
879984.2226779,0.0
879984.2227657,0.0
879984.2228518,0.0
879984.2229359,0.0
879984.2230197,0.0
879984.2231044,0.0
879984.2231881,0.0
879984.2232716,0.0
879984.2233554,3.0
879984.2234417,0.0
879984.2235264,0.0
879984.2236107,0.0
879984.2236947,0.0
879984.223778,0.0
879984.2238632,0.0
879984.2239486,0.0
879984.2240331,0.0
879984.2241179,0.0
879984.2242026,0.0
879984.2242872,3.0
879984.2243722,0.0
879984.2244574,0.0
879984.2245411,0.0
879984.2246253,0.0
879984.2247101,0.0
879984.224795,0.0
879984.2248793,0.0
879984.2249632,0.0
879984.2250488,0.0
879984.225134,0.0
879984.2252178,0.0
879984.2253023,0.0
879984.2253872,0.0
879984.2254717,0.0
879984.2255572,3.0
879984.225641,0.0
879984.2257256,0.0
879984.2258091,0.0
879984.2258939,0.0
879984.2259785,0.0
879984.2260635,0.0
879984.2261477,0.0
879984.2262326,0.0
879984.2263164,0.0
879984.226401,0.0
879984.2264855,0.0
879984.2265695,0.0
879984.2266548,0.0
879984.226739,0.0
879984.2268228,0.0
879984.2269065,0.0
879984.2269901,0.0
879984.2270733,0.0
879984.2271576,0.0
879984.2272431,3.0
879984.2273268,0.0
879984.2274103,0.0
879984.2274948,0.0
879984.2275792,0.0
879984.2276636,0.0
879984.2277481,0.0
879984.2278326,0.0
879984.2279172,0.0
879984.2280021,0.0
879984.2280856,0.0
879984.2281703,0.0
879984.2282552,0.0
879984.22834,0.0
879984.2284256,0.0
879984.22851,0.0
879984.2285939,0.0
879984.2286785,0.0
879984.228763,0.0
879984.2288478,0.0
879984.2289325,0.0
879984.2290156,0.0
879984.2290996,0.0
879984.2291844,0.0
879984.2292694,3.0
879984.2293544,0.0
879984.2294392,0.0
879984.2295241,0.0
879984.2296092,0.0
879984.2296929,0.0
879984.229778,0.0
879984.2298625,0.0
879984.229948,0.0
879984.2300312,0.0
879984.2301155,3.0
879984.2301996,0.0
879984.2302835,0.0
879984.2303672,0.0
879984.2304508,3.0
879984.2305343,0.0
879984.2306189,0.0
879984.2307035,0.0
879984.2307878,0.0
879984.2308714,0.0
879984.2309551,0.0
879984.2310385,0.0
879984.2311227,0.0
879984.2312064,0.0
879984.2312912,0.0
879984.2313746,0.0
879984.2314578,0.0
879984.2315422,0.0
879984.2316277,0.0
879984.2317111,0.0
879984.2317945,0.0
879984.2318778,3.0
879984.2319631,0.0
879984.2320472,0.0
879984.2321311,0.0
879984.2322144,0.0
879984.2322981,0.0
879984.2323822,0.0
879984.232466,0.0
879984.2325495,0.0
879984.2326345,0.0
879984.2327202,0.0
879984.2328046,0.0
879984.2328895,0.0
879984.2329732,0.0
879984.2330573,0.0
879984.2331416,3.0
879984.2332253,0.0
879984.2333097,0.0
879984.2333951,0.0
879984.2334796,0.0
879984.2335643,0.0
879984.233648,0.0
879984.2337319,0.0
879984.2338149,0.0
879984.2338986,0.0
879984.2339823,0.0
879984.2340659,0.0
879984.2341497,0.0
879984.2342336,0.0
879984.2343176,0.0
879984.2344042,0.0
879984.2344892,3.0
879984.2345725,0.0
879984.2346571,0.0
879984.2347471,3.0
879984.2348977,0.0
879984.2350132,0.0
879984.2350977,0.0
879984.2351811,3.0
879984.2352665,0.0
879984.2353496,0.0
879984.2354344,0.0
879984.2355191,0.0
879984.2356034,0.0
879984.2356868,0.0
879984.2357702,0.0
879984.2358538,0.0
879984.2359383,0.0
879984.2360231,0.0
879984.2361081,0.0
879984.2361931,0.0
879984.2362778,0.0
879984.2363621,0.0
879984.2364472,0.0
879984.2365324,0.0
879984.2366167,0.0
879984.2367014,0.0
879984.2367852,0.0
879984.2368687,0.0
879984.2369526,0.0
879984.2370374,0.0
879984.2371227,0.0
879984.2372066,0.0
879984.2372919,0.0
879984.2373769,0.0
879984.237461,0.0
879984.237545,0.0
879984.2376301,0.0
879984.2377148,0.0
879984.2377994,0.0
879984.2378843,0.0
879984.2379676,0.0
879984.238051,0.0
879984.2381345,0.0
879984.2382193,0.0
879984.2383044,0.0
879984.2383886,0.0
879984.2384723,0.0
879984.2385594,0.0
879984.2386448,0.0
879984.2387296,0.0
879984.2388154,0.0
879984.238902,0.0
879984.2389874,0.0
879984.2390717,0.0
879984.2391564,0.0
879984.2392405,0.0
879984.2393245,0.0
879984.2394087,0.0
879984.2394942,0.0
879984.2395803,0.0
879984.2396661,0.0
879984.2397508,0.0
879984.2398359,0.0
879984.2399204,0.0
879984.2400042,0.0
879984.2400883,0.0
879984.2401737,0.0
879984.240258,0.0
879984.2403413,0.0
879984.2404247,0.0
879984.240508,0.0
879984.2405927,0.0
879984.2406769,0.0
879984.2407614,0.0
879984.2408461,3.0
879984.2409311,0.0
879984.2410159,0.0
879984.2410995,0.0
879984.2411831,0.0
879984.2412666,0.0
879984.2413496,0.0
879984.2414334,0.0
879984.241517,0.0
879984.2416005,0.0
879984.2416856,0.0
879984.2417691,0.0
879984.2418545,0.0
879984.2419385,0.0
879984.2420233,0.0
879984.2421085,0.0
879984.2421928,0.0
879984.2422774,0.0
879984.2423616,0.0
879984.2424463,0.0
879984.2425309,3.0
879984.2426149,0.0
879984.2426993,0.0
879984.2427826,0.0
879984.242867,0.0
879984.2429512,0.0
879984.2430365,0.0
879984.2431215,3.0
879984.2432055,0.0
879984.2432905,0.0
879984.2433751,0.0
879984.2434579,0.0
879984.2435412,0.0
879984.2436244,0.0
879984.2437077,0.0
879984.2437904,0.0
879984.2438739,0.0
879984.2439582,0.0
879984.244043,0.0
879984.2441273,0.0
879984.2442124,0.0
879984.2442977,0.0
879984.2443836,0.0
879984.2444685,0.0
879984.2445529,0.0
879984.2446375,0.0
879984.2447219,0.0
879984.2448073,0.0
879984.2448926,0.0
879984.2449779,0.0
879984.2450637,0.0
879984.2451479,0.0
879984.2452315,0.0
879984.2453152,0.0
879984.2453991,0.0
879984.2454839,0.0
879984.2455687,0.0
879984.2456533,0.0
879984.2457373,0.0
879984.2458212,0.0
879984.2459048,0.0
879984.2459881,0.0
879984.2460729,3.0
879984.2461581,0.0
879984.2462429,0.0
879984.2463277,0.0
879984.2464125,0.0
879984.2464972,0.0
879984.2465817,0.0
879984.2466657,0.0
879984.24675,0.0
879984.2468345,0.0
879984.2469188,0.0
879984.2470042,0.0
879984.247089,0.0
879984.2471739,3.0
879984.247259,0.0
879984.2473429,0.0
879984.2474266,0.0
879984.247511,0.0
879984.2475956,0.0
879984.2476797,0.0
879984.2477646,0.0
879984.247849,0.0
879984.2479333,0.0
879984.2480174,0.0
879984.2481017,0.0
879984.2481858,0.0
879984.2482696,0.0
879984.2483533,0.0
879984.2484373,0.0
879984.2485216,0.0
879984.248606,0.0
879984.2486897,0.0
879984.2487734,0.0
879984.2488572,0.0
879984.2489558,0.0
879984.2490432,0.0
879984.2491307,0.0
879984.2492184,0.0
879984.2493052,0.0
879984.2493924,0.0
879984.2494793,0.0
879984.249566,0.0
879984.2496556,0.0
879984.2497429,0.0
879984.2498306,0.0
879984.2499179,0.0
879984.2500055,0.0
879984.2500924,0.0
879984.2501796,0.0
879984.2502668,3.0
879984.2503592,0.0
879984.2505196,0.0
879984.2506303,0.0
879984.2507193,0.0
879984.2508086,3.0
879984.2508953,3.0
879984.2509833,0.0
879984.2510719,0.0
879984.2511595,0.0
879984.251246,0.0
879984.2513329,0.0
879984.2514197,0.0
879984.2515065,0.0
879984.2515948,0.0
879984.2516821,0.0
879984.2517687,0.0
879984.2518553,0.0
879984.2519428,0.0
879984.2520312,0.0
879984.2521192,0.0
879984.2522077,0.0
879984.2522949,0.0
879984.2523822,0.0
879984.2524701,0.0
879984.2525577,0.0
879984.252644,0.0
879984.25273,0.0
879984.2528164,0.0
879984.2529031,0.0
879984.2529901,0.0
879984.2530767,0.0
879984.2531629,0.0
879984.25325,0.0
879984.253337,0.0
879984.2534249,0.0
879984.2535119,0.0
879984.2535988,0.0
879984.2536855,3.0
879984.2537724,0.0
879984.2538589,0.0
879984.2539456,0.0
879984.2540325,0.0
879984.2541206,0.0
879984.2542083,0.0
879984.254297,0.0
879984.2543836,0.0
879984.2544713,3.0
879984.2545586,0.0
879984.2546458,0.0
879984.2547343,0.0
879984.2548223,0.0
879984.25491,0.0
879984.2549976,6.0
879984.2550842,0.0
879984.2551708,0.0
879984.2552572,0.0
879984.2553461,0.0
879984.2554341,0.0
879984.2555227,0.0
879984.2556103,0.0
879984.2556977,0.0
879984.255786,0.0
879984.2558743,0.0
879984.255961,0.0
879984.2560478,0.0
879984.2561346,0.0
879984.2562217,0.0
879984.2563087,0.0
879984.2563979,0.0
879984.2564855,0.0
879984.2565726,3.0
879984.2566605,0.0
879984.2567477,0.0
879984.2568358,0.0
879984.2569232,0.0
879984.2570109,0.0
879984.2570993,0.0
879984.2571876,0.0
879984.257276,0.0
879984.2573629,0.0
879984.2574498,0.0
879984.257537,0.0
879984.2576235,0.0
879984.2577119,0.0
879984.2577993,0.0
879984.2578869,0.0
879984.2579746,0.0
879984.2580614,0.0
879984.2581492,0.0
879984.2582381,0.0
879984.2583264,0.0
879984.2584149,0.0
879984.2585017,0.0
879984.2585887,0.0
879984.2586757,0.0
879984.2587631,0.0
879984.2588508,0.0
879984.2589378,0.0
879984.2590251,0.0
879984.2591125,0.0
879984.259201,0.0
879984.2592897,0.0
879984.2593783,0.0
879984.259466,0.0
879984.2595537,0.0
879984.2596413,0.0
879984.2597281,0.0
879984.2598156,0.0
879984.2599039,0.0
879984.2599906,0.0
879984.2600771,0.0
879984.2601639,0.0
879984.2602507,0.0
879984.2603378,0.0
879984.2604247,0.0
