Time (s),Voltage (mV)
879662.5072725,0.0
879662.508263,0.0
879662.509262,0.0
879662.5102612,0.0
879662.5112639,0.0
879662.5122738,0.0
879662.5132739,0.0
879662.5142764,0.0
879662.5152751,0.0
879662.5162625,0.0
879662.5172636,0.0
879662.5182618,0.0
879662.5192793,0.0
879662.5202689,0.0
879662.5212769,0.0
879662.5222642,0.0
879662.5232734,0.0
879662.5242785,0.0
879662.5253374,0.0
879662.5262668,0.0
879662.5272737,0.0
879662.5282749,0.0
879662.5292691,0.0
879662.5302639,0.0
879662.5312627,0.0
879662.5321784,0.0
879662.5332751,0.0
879662.5342734,0.0
879662.5352921,0.0
879662.5361754,0.0
879662.537273,0.0
879662.5382726,0.0
879662.5392747,0.0
879662.5402735,0.0
879662.5413061,0.0
879662.5422629,0.0
879662.5432776,0.0
879662.5442628,0.0
879662.5452716,0.0
879662.546276,0.0
879662.5472742,0.0
879662.5482725,0.0
879662.5492729,0.0
879662.5502634,3.0
879662.5512734,0.0
879662.5522639,0.0
879662.5532632,0.0
879662.5542718,0.0
879662.5552619,0.0
879662.5562701,0.0
879662.557137,0.0
879662.5581837,0.0
879662.5592168,0.0
879662.5602761,0.0
879662.561263,3.0
879662.5622735,0.0
879662.5631872,0.0
879662.5642626,0.0
879662.5652715,0.0
879662.5662794,0.0
879662.5672766,0.0
879662.5682759,0.0
879662.5692768,0.0
879662.5702614,0.0
879662.5712717,0.0
879662.5722728,0.0
879662.5731746,0.0
879662.5742616,0.0
879662.5752742,0.0
879662.5762624,0.0
879662.5772726,0.0
879662.5782724,0.0
879662.5792731,0.0
879662.5802789,0.0
879662.5812716,0.0
879662.5822625,0.0
879662.5832718,0.0
879662.5842762,0.0
879662.5852726,0.0
879662.5862742,0.0
879662.5872733,0.0
879662.5882623,0.0
879662.5891762,0.0
879662.5902722,0.0
879662.5912773,0.0
879662.5922642,0.0
879662.5932666,0.0
879662.5942675,0.0
879662.5952611,0.0
879662.5962801,0.0
879662.5972737,0.0
879662.5982811,0.0
879662.5992622,0.0
879662.6002621,0.0
879662.6012614,0.0
879662.6022625,0.0
879662.6032619,0.0
879662.6042636,0.0
879662.60518,0.0
879662.6061746,0.0
879662.6071831,0.0
879662.6081744,0.0
879662.6092666,0.0
879662.6102749,0.0
879662.6112645,0.0
879662.6122619,0.0
879662.6132701,3.0
879662.6142615,0.0
879662.6152621,0.0
879662.6162615,0.0
879662.6172621,0.0
879662.618262,0.0
879662.6192608,0.0
879662.6202724,0.0
879662.6211766,0.0
879662.6222614,0.0
879662.6232624,0.0
879662.6242715,0.0
879662.6252806,0.0
879662.626262,0.0
879662.6272823,0.0
879662.6282738,0.0
879662.6292627,0.0
879662.6302747,0.0
879662.6312713,0.0
879662.6322659,0.0
879662.6332773,0.0
879662.6342617,0.0
879662.6352608,0.0
879662.6362717,0.0
879662.6371756,0.0
879662.6382654,0.0
879662.6392644,0.0
879662.640272,0.0
879662.6412628,0.0
879662.6422689,0.0
879662.6432607,0.0
879662.6442648,0.0
879662.6452642,0.0
879662.6462627,0.0
879662.6472764,0.0
879662.648277,0.0
879662.6492653,0.0
879662.6502632,0.0
879662.6512766,0.0
879662.6522759,0.0
879662.6532667,0.0
879662.6542636,0.0
879662.6552696,3.0
879662.6562767,0.0
879662.6572807,0.0
879662.6582662,0.0
879662.6592685,0.0
879662.660264,0.0
879662.6612785,0.0
879662.6622756,0.0
879662.6632767,0.0
879662.6642827,3.0
879662.6652768,0.0
879662.6662764,0.0
879662.6672816,3.0
879662.6682822,0.0
879662.669282,0.0
879662.6702666,0.0
879662.6712647,3.0
879662.6722639,0.0
879662.6732806,0.0
879662.6742797,0.0
879662.6752651,0.0
879662.6762651,0.0
879662.6772679,0.0
879662.6782648,0.0
879662.6792686,0.0
879662.680266,0.0
879662.68127,0.0
879662.6822656,0.0
879662.6832702,0.0
879662.684277,0.0
879662.6852544,0.0
879662.6862711,0.0
879662.6872691,0.0
879662.6883131,0.0
879662.689269,0.0
879662.6902654,0.0
879662.6912671,0.0
879662.6922668,0.0
879662.6932798,0.0
879662.6942728,0.0
879662.6952708,0.0
879662.6962638,0.0
879662.6972806,0.0
879662.6982685,0.0
879662.69927,0.0
879662.7003229,0.0
879662.7012191,0.0
879662.7022645,0.0
879662.7032778,0.0
879662.7042662,0.0
879662.7052704,0.0
879662.7062667,0.0
879662.707266,0.0
879662.7082668,0.0
879662.7092716,0.0
879662.7102653,0.0
879662.7112818,0.0
879662.7122767,0.0
879662.713285,0.0
879662.7142773,0.0
879662.7152689,0.0
879662.7161743,0.0
879662.717265,0.0
879662.7182644,0.0
879662.7193027,0.0
879662.7202766,0.0
879662.7212688,0.0
879662.7222759,0.0
879662.723265,0.0
879662.7242666,0.0
879662.7252671,0.0
879662.7262656,0.0
879662.7272807,0.0
879662.7282654,3.0
879662.7292787,0.0
879662.7302653,0.0
879662.7312708,0.0
879662.7321735,0.0
879662.7332702,0.0
879662.7342655,0.0
879662.7352648,3.0
879662.7362648,0.0
879662.7372854,0.0
879662.7382651,0.0
879662.7392682,0.0
879662.740266,0.0
879662.7412801,0.0
879662.7422649,0.0
879662.7432713,0.0
879662.7442669,0.0
879662.7452762,0.0
879662.7462757,0.0
879662.7472666,0.0
879662.748196,0.0
879662.7492157,0.0
879662.7502643,0.0
879662.7512701,0.0
879662.7522694,0.0
879662.7532663,0.0
879662.7542789,0.0
879662.7552647,0.0
879662.7562667,0.0
879662.757267,0.0
879662.7582643,0.0
879662.7592712,0.0
879662.7602779,0.0
879662.7612646,0.0
879662.7622691,0.0
879662.7632687,0.0
879662.7642139,0.0
879662.7652701,0.0
879662.766269,0.0
879662.7672651,0.0
879662.7682739,0.0
879662.7692658,0.0
879662.7702655,0.0
879662.7712633,0.0
879662.7722845,0.0
879662.7732748,0.0
879662.7742651,0.0
879662.7752783,0.0
879662.7762643,0.0
879662.7772816,0.0
879662.7782813,0.0
879662.7792511,0.0
