Time (s),Voltage (mV)
3.0,877859.4041715
0.0,877859.4042641
0.0,877859.4043569
0.0,877859.4044484
0.0,877859.4045407
0.0,877859.4046313
0.0,877859.4047222
0.0,877859.4048138
0.0,877859.4049066
0.0,877859.4049994
0.0,877859.4050917
0.0,877859.405185
0.0,877859.4052767
0.0,877859.4053701
0.0,877859.4054619
0.0,877859.4055535
0.0,877859.4056449
3.0,877859.4057361
3.0,877859.4058272
0.0,877859.4059199
0.0,877859.4060122
0.0,877859.406104
0.0,877859.4061965
0.0,877859.4062873
0.0,877859.4063799
0.0,877859.4064723
0.0,877859.4065656
0.0,877859.4066599
0.0,877859.4067527
0.0,877859.4068456
0.0,877859.406939
0.0,877859.4070327
0.0,877859.4071254
0.0,877859.4072184
6.0,877859.4073118
0.0,877859.4074036
0.0,877859.4074953
0.0,877859.4075865
0.0,877859.4076779
0.0,877859.4077698
0.0,877859.4078616
0.0,877859.4079529
0.0,877859.4080438
0.0,877859.4081352
0.0,877859.4082275
0.0,877859.408321
0.0,877859.4084144
0.0,877859.4085071
0.0,877859.408598
0.0,877859.4086892
0.0,877859.4087805
0.0,877859.408875
0.0,877859.4089686
0.0,877859.4090598
0.0,877859.4091508
0.0,877859.4092444
6.0,877859.4093373
0.0,877859.4094306
0.0,877859.4095224
0.0,877859.4096141
0.0,877859.4097049
0.0,877859.4097957
0.0,877859.409887
0.0,877859.4099782
0.0,877859.410069
0.0,877859.4101621
0.0,877859.4102627
0.0,877859.410356
0.0,877859.4104488
0.0,877859.410555
0.0,877859.4107268
0.0,877859.4108215
0.0,877859.410914
0.0,877859.4110077
6.0,877859.4110996
0.0,877859.4111927
0.0,877859.4112848
0.0,877859.4113781
0.0,877859.4114714
0.0,877859.4115647
0.0,877859.4116577
0.0,877859.4117508
0.0,877859.4118436
0.0,877859.4119363
0.0,877859.4120298
0.0,877859.412123
0.0,877859.4122143
0.0,877859.4123057
0.0,877859.4123968
0.0,877859.4124881
0.0,877859.4125801
0.0,877859.4126731
0.0,877859.4127653
0.0,877859.4128584
0.0,877859.4129515
0.0,877859.4130445
0.0,877859.4131381
0.0,877859.4132316
0.0,877859.4133253
0.0,877859.4134176
0.0,877859.4135095
0.0,877859.4136005
0.0,877859.4136933
0.0,877859.4137863
0.0,877859.4138789
0.0,877859.4139717
0.0,877859.4140646
0.0,877859.4141596
0.0,877859.4142512
6.0,877859.4143425
0.0,877859.4144337
0.0,877859.4145247
0.0,877859.4146159
0.0,877859.4147071
0.0,877859.4147978
0.0,877859.4148909
0.0,877859.414984
0.0,877859.4150963
0.0,877859.4151901
0.0,877859.4152837
0.0,877859.4153767
0.0,877859.4154713
0.0,877859.415565
0.0,877859.4156579
0.0,877859.415751
0.0,877859.4158443
0.0,877859.4159373
0.0,877859.416029
0.0,877859.4161223
3.0,877859.4162147
0.0,877859.4163073
0.0,877859.416399
0.0,877859.4164919
0.0,877859.4165837
3.0,877859.4166762
0.0,877859.4167684
0.0,877859.4168628
0.0,877859.4169558
0.0,877859.4170485
0.0,877859.417141
0.0,877859.4172331
3.0,877859.4173259
0.0,877859.417419
0.0,877859.4175115
0.0,877859.4176045
0.0,877859.4176971
0.0,877859.4177889
0.0,877859.4178816
0.0,877859.4179742
0.0,877859.4180668
0.0,877859.4181577
0.0,877859.4182484
0.0,877859.4183412
0.0,877859.4184332
0.0,877859.4185257
0.0,877859.418618
